low-bm,low-rf,hi-bm,hi-rf,run,type,low-fidelity,high-fidelity
0.2,0.6,0.22,0.77,0,low-fidelity,89,0
0.2,0.6,0.22,0.77,1,low-fidelity,113,0
0.2,0.6,0.22,0.77,2,low-fidelity,95,0
0.2,0.6,0.22,0.77,3,low-fidelity,78,0
0.2,0.6,0.22,0.77,4,low-fidelity,104,0
0.2,0.6,0.22,0.77,5,low-fidelity,98,0
0.2,0.6,0.22,0.77,6,low-fidelity,101,0
0.2,0.6,0.22,0.77,7,low-fidelity,94,0
0.2,0.6,0.22,0.77,8,low-fidelity,105,0
0.2,0.6,0.22,0.77,9,low-fidelity,108,0
0.2,0.6,0.22,0.77,10,low-fidelity,95,0
0.2,0.6,0.22,0.77,11,low-fidelity,93,0
0.2,0.6,0.22,0.77,12,low-fidelity,90,0
0.2,0.6,0.22,0.77,13,low-fidelity,88,0
0.2,0.6,0.22,0.77,14,low-fidelity,91,0
0.2,0.6,0.22,0.77,15,low-fidelity,95,0
0.2,0.6,0.22,0.77,16,low-fidelity,74,0
0.2,0.6,0.22,0.77,17,low-fidelity,86,0
0.2,0.6,0.22,0.77,18,low-fidelity,89,0
0.2,0.6,0.22,0.77,19,low-fidelity,91,0
0.2,0.6,0.22,0.77,0,high-fidelity,0,128
0.2,0.6,0.22,0.77,1,high-fidelity,0,122
0.2,0.6,0.22,0.77,2,high-fidelity,0,113
0.2,0.6,0.22,0.77,3,high-fidelity,0,122
0.2,0.6,0.22,0.77,4,high-fidelity,0,119
0.2,0.6,0.22,0.77,5,high-fidelity,0,111
0.2,0.6,0.22,0.77,6,high-fidelity,0,111
0.2,0.6,0.22,0.77,7,high-fidelity,0,116
0.2,0.6,0.22,0.77,8,high-fidelity,0,117
0.2,0.6,0.22,0.77,9,high-fidelity,0,123
0.2,0.6,0.22,0.77,10,high-fidelity,0,120
0.2,0.6,0.22,0.77,11,high-fidelity,0,110
0.2,0.6,0.22,0.77,12,high-fidelity,0,115
0.2,0.6,0.22,0.77,13,high-fidelity,0,120
0.2,0.6,0.22,0.77,14,high-fidelity,0,119
0.2,0.6,0.22,0.77,15,high-fidelity,0,120
0.2,0.6,0.22,0.77,16,high-fidelity,0,123
0.2,0.6,0.22,0.77,17,high-fidelity,0,120
0.2,0.6,0.22,0.77,18,high-fidelity,0,113
0.2,0.6,0.22,0.77,19,high-fidelity,0,111
0.2,0.6,0.22,0.77,0,together,0,120
0.2,0.6,0.22,0.77,1,together,0,133
0.2,0.6,0.22,0.77,2,together,0,113
0.2,0.6,0.22,0.77,3,together,0,109
0.2,0.6,0.22,0.77,4,together,0,127
0.2,0.6,0.22,0.77,5,together,0,108
0.2,0.6,0.22,0.77,6,together,0,123
0.2,0.6,0.22,0.77,7,together,0,114
0.2,0.6,0.22,0.77,8,together,0,121
0.2,0.6,0.22,0.77,9,together,0,112
0.2,0.6,0.22,0.77,10,together,0,112
0.2,0.6,0.22,0.77,11,together,0,109
0.2,0.6,0.22,0.77,12,together,0,121
0.2,0.6,0.22,0.77,13,together,0,118
0.2,0.6,0.22,0.77,14,together,0,110
0.2,0.6,0.22,0.77,15,together,0,115
0.2,0.6,0.22,0.77,16,together,0,105
0.2,0.6,0.22,0.77,17,together,0,114
0.2,0.6,0.22,0.77,18,together,0,129
0.2,0.6,0.22,0.77,19,together,0,116
0.2,0.6,0.36,0.76,0,low-fidelity,102,0
0.2,0.6,0.36,0.76,1,low-fidelity,98,0
0.2,0.6,0.36,0.76,2,low-fidelity,95,0
0.2,0.6,0.36,0.76,3,low-fidelity,98,0
0.2,0.6,0.36,0.76,4,low-fidelity,89,0
0.2,0.6,0.36,0.76,5,low-fidelity,108,0
0.2,0.6,0.36,0.76,6,low-fidelity,99,0
0.2,0.6,0.36,0.76,7,low-fidelity,100,0
0.2,0.6,0.36,0.76,8,low-fidelity,86,0
0.2,0.6,0.36,0.76,9,low-fidelity,93,0
0.2,0.6,0.36,0.76,10,low-fidelity,86,0
0.2,0.6,0.36,0.76,11,low-fidelity,102,0
0.2,0.6,0.36,0.76,12,low-fidelity,109,0
0.2,0.6,0.36,0.76,13,low-fidelity,89,0
0.2,0.6,0.36,0.76,14,low-fidelity,104,0
0.2,0.6,0.36,0.76,15,low-fidelity,96,0
0.2,0.6,0.36,0.76,16,low-fidelity,101,0
0.2,0.6,0.36,0.76,17,low-fidelity,97,0
0.2,0.6,0.36,0.76,18,low-fidelity,91,0
0.2,0.6,0.36,0.76,19,low-fidelity,94,0
0.2,0.6,0.36,0.76,0,high-fidelity,0,79
0.2,0.6,0.36,0.76,1,high-fidelity,0,69
0.2,0.6,0.36,0.76,2,high-fidelity,0,80
0.2,0.6,0.36,0.76,3,high-fidelity,0,70
0.2,0.6,0.36,0.76,4,high-fidelity,0,76
0.2,0.6,0.36,0.76,5,high-fidelity,0,76
0.2,0.6,0.36,0.76,6,high-fidelity,0,72
0.2,0.6,0.36,0.76,7,high-fidelity,0,78
0.2,0.6,0.36,0.76,8,high-fidelity,0,73
0.2,0.6,0.36,0.76,9,high-fidelity,0,73
0.2,0.6,0.36,0.76,10,high-fidelity,0,73
0.2,0.6,0.36,0.76,11,high-fidelity,0,77
0.2,0.6,0.36,0.76,12,high-fidelity,0,79
0.2,0.6,0.36,0.76,13,high-fidelity,0,70
0.2,0.6,0.36,0.76,14,high-fidelity,0,76
0.2,0.6,0.36,0.76,15,high-fidelity,0,72
0.2,0.6,0.36,0.76,16,high-fidelity,0,73
0.2,0.6,0.36,0.76,17,high-fidelity,0,75
0.2,0.6,0.36,0.76,18,high-fidelity,0,77
0.2,0.6,0.36,0.76,19,high-fidelity,0,73
0.2,0.6,0.36,0.76,0,together,96,0
0.2,0.6,0.36,0.76,1,together,87,0
0.2,0.6,0.36,0.76,2,together,68,0
0.2,0.6,0.36,0.76,3,together,94,0
0.2,0.6,0.36,0.76,4,together,113,0
0.2,0.6,0.36,0.76,5,together,110,0
0.2,0.6,0.36,0.76,6,together,106,0
0.2,0.6,0.36,0.76,7,together,112,0
0.2,0.6,0.36,0.76,8,together,90,0
0.2,0.6,0.36,0.76,9,together,94,0
0.2,0.6,0.36,0.76,10,together,90,0
0.2,0.6,0.36,0.76,11,together,93,0
0.2,0.6,0.36,0.76,12,together,71,0
0.2,0.6,0.36,0.76,13,together,97,0
0.2,0.6,0.36,0.76,14,together,94,0
0.2,0.6,0.36,0.76,15,together,91,0
0.2,0.6,0.36,0.76,16,together,88,0
0.2,0.6,0.36,0.76,17,together,106,0
0.2,0.6,0.36,0.76,18,together,81,0
0.2,0.6,0.36,0.76,19,together,86,0
0.2,0.6,0.23,0.64,0,low-fidelity,104,0
0.2,0.6,0.23,0.64,1,low-fidelity,103,0
0.2,0.6,0.23,0.64,2,low-fidelity,94,0
0.2,0.6,0.23,0.64,3,low-fidelity,106,0
0.2,0.6,0.23,0.64,4,low-fidelity,97,0
0.2,0.6,0.23,0.64,5,low-fidelity,95,0
0.2,0.6,0.23,0.64,6,low-fidelity,121,0
0.2,0.6,0.23,0.64,7,low-fidelity,109,0
0.2,0.6,0.23,0.64,8,low-fidelity,87,0
0.2,0.6,0.23,0.64,9,low-fidelity,87,0
0.2,0.6,0.23,0.64,10,low-fidelity,102,0
0.2,0.6,0.23,0.64,11,low-fidelity,105,0
0.2,0.6,0.23,0.64,12,low-fidelity,99,0
0.2,0.6,0.23,0.64,13,low-fidelity,101,0
0.2,0.6,0.23,0.64,14,low-fidelity,93,0
0.2,0.6,0.23,0.64,15,low-fidelity,117,0
0.2,0.6,0.23,0.64,16,low-fidelity,100,0
0.2,0.6,0.23,0.64,17,low-fidelity,99,0
0.2,0.6,0.23,0.64,18,low-fidelity,93,0
0.2,0.6,0.23,0.64,19,low-fidelity,99,0
0.2,0.6,0.23,0.64,0,high-fidelity,0,92
0.2,0.6,0.23,0.64,1,high-fidelity,0,99
0.2,0.6,0.23,0.64,2,high-fidelity,0,99
0.2,0.6,0.23,0.64,3,high-fidelity,0,92
0.2,0.6,0.23,0.64,4,high-fidelity,0,103
0.2,0.6,0.23,0.64,5,high-fidelity,0,93
0.2,0.6,0.23,0.64,6,high-fidelity,0,90
0.2,0.6,0.23,0.64,7,high-fidelity,0,104
0.2,0.6,0.23,0.64,8,high-fidelity,0,89
0.2,0.6,0.23,0.64,9,high-fidelity,0,97
0.2,0.6,0.23,0.64,10,high-fidelity,0,90
0.2,0.6,0.23,0.64,11,high-fidelity,0,99
0.2,0.6,0.23,0.64,12,high-fidelity,0,95
0.2,0.6,0.23,0.64,13,high-fidelity,0,103
0.2,0.6,0.23,0.64,14,high-fidelity,0,106
0.2,0.6,0.23,0.64,15,high-fidelity,0,86
0.2,0.6,0.23,0.64,16,high-fidelity,0,102
0.2,0.6,0.23,0.64,17,high-fidelity,0,111
0.2,0.6,0.23,0.64,18,high-fidelity,0,101
0.2,0.6,0.23,0.64,19,high-fidelity,0,82
